uai;libelle_court;libelle_long;statut_juridique_court;adresse;complement_adresse;code_postal;localite;geolocalisation;site_internet;compte_twitter;compte_facebook;compte_linkedin;compte_googleplus;compte_youtube;compte_dailymotion;identifiant_freebase;identifiant_wikidata;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;numero_siren_siret_uai
0780491K;INRIA;Institut national de recherche en informatique et en automatique;Établissements publics à caractère scientifique et technologique;DOMAINE DE VOLUCEAU;ROCQUENCOURT - B.P. 105;78153;LE CHESNAY;48.837135, 2.103516;http://www.inria.fr/;https://twitter.com/Inria;;https://www.linkedin.com/company/inria;;;;http://www.freebase.com/m/01v56y;http://www.wikidata.org/entity/Q1146208;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;78158;Le Chesnay;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;18008904700013
0755360U;INED;Institut national des études démographiques;Établissements publics à caractère scientifique et technologique;133, BOULEVARD DAVOUT;;75980;PARIS CEDEX 20;48.8577799, 2.4097005;http://www.ined.fr/;https://twitter.com/InedFr;;;;;;http://www.freebase.com/m/0cvf00;http://www.wikidata.org/entity/Q3152388;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;75120;Paris 20e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;18003702000021
0922684T;ANDRA;Agence nationale de gestion des déchets radioactifs;Établissement public à caractère industriel et commercial;1/7, RUE JEAN MONNET, PARC DE LA CROIX-BLANCHE;;92298;CHÂTENAY-MALABRY CEDEX;48.770655, 2.284561;https://www.andra.fr/;https://twitter.com/Andra_France;;;;;;;http://www.wikidata.org/entity/Q295662;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;174;Énergie, climat et après-mines;181;;92019;Châtenay-Malabry;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;
;INCa;Institut national du Cancer;Groupement d'intérêt public;52 AVENUE ANDRÉ MORIZET;;92100;BOULOGNE-BILLANCOURT;48.8369177, 2.2369694;http://www.e-cancer.fr/;https://twitter.com/Institut_cancer;;;;;;;http://www.wikidata.org/entity/Q3152443;Opérateurs LOLF Hors MIRES 2014;Santé;204;Prévention, sécurité sanitaire et offre de soins;;;92012;Boulogne-Billancourt;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;
0755516N;CIRAD;Centre de coopération internationale en recherche agronomique pour le développement;Établissement public à caractère industriel et commercial;42, RUE SCHEFFER;;75116;PARIS;48.8627234, 2.2819178;http://www.cirad.fr/;https://twitter.com/Cirad;;;;;;http://www.freebase.com/m/0v3h9lw;http://www.wikidata.org/entity/Q2945274;Opérateurs MIRES 2014;Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;;;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;33159627000040
0755619A;OST;Observatoire des sciences et techniques;Groupement d'intérêt public;21 BOULEVARD PASTEUR;;75015;PARIS;48.8439866, 2.3124722;http://www.obs-ost.fr/fr;;;;;;;;http://www.wikidata.org/entity/Q3348415;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;75115;Paris 15e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
;IHEST;Institut des hautes études pour la science et la technologie;Établissement public à caractère administratif;1 RUE DESCARTES;;75231;PARIS CEDEX 05;48.8474411, 2.3487488;http://www.ihest.fr/;https://twitter.com/IHEST;;http://fr.linkedin.com/company/ihest;;;;;http://www.wikidata.org/entity/Q3152165;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
0912281K;CEA;Commissariat à l'énergie atomique et aux énergies alternatives;Établissement public à caractère industriel et commercial;CEA SACLAY;;91191;GIF-SUR-YVETTE CEDEX;48.727761, 2.15633;http://www.cea.fr/;https://twitter.com/CEA_Recherche;;;;;;http://www.freebase.com/m/01vqst;http://www.wikidata.org/entity/Q868550;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;"190;191;212";;91272;Gif-sur-Yvette;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;77568501900587
0922262J;IFREMER;Institut français de recherche pour l'exploitation de la mer;Établissement public à caractère industriel et commercial;155 RUE JEAN-JACQUES ROUSSEAU;;92138;ISSY-LES-MOULINEAUX;48.8227131, 2.2599014;http://wwz.ifremer.fr/;https://twitter.com/Ifremer_fr;;;;;;http://www.freebase.com/m/0836yw;http://www.wikidata.org/entity/Q1657069;Opérateurs MIRES 2014;Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;113;;92040;Issy-les-Moulineaux;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;33071536800297
0755502Y;INRAP;Institut national de recherches archéologiques préventives;Établissement public à caractère administratif;7 RUE DE MADRID;;75008;PARIS;48.8781551, 2.3212973;http://www.inrap.fr/;https://twitter.com/InrapOfficiel;;https://www.linkedin.com/company/inrap;;;;;http://www.wikidata.org/entity/Q377191;Opérateurs LOLF Hors MIRES 2014;Culture;175;Patrimoines;;;75108;Paris 8e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;18009226400019
